,Suburb,Rooms,Type,Price,Method,SellerG,Distance,Postcode,Bedroom2,Bathroom,Car,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Address Type,YrSold,MonthSold,DaySold,MissingValues
0,Abbotsford,2,h,1480000.0,S,Biggin,2.5,3067.0,2.0,1.0,1.0,126.0,0.0,Yarra,-37.7996,144.9984,Northern,4019.0,St,2016,3,12,True
1,Abbotsford,2,h,1035000.0,S,Biggin,2.5,3067.0,2.0,1.0,0.0,79.0,1900.0,Yarra,-37.8079,144.9934,Northern,4019.0,St,2016,4,2,False
2,Abbotsford,3,h,1465000.0,SP,Biggin,2.5,3067.0,3.0,2.0,0.0,150.0,1900.0,Yarra,-37.8093,144.9944,Northern,4019.0,St,2017,4,3,False
3,Abbotsford,3,h,850000.0,PI,Biggin,2.5,3067.0,3.0,2.0,1.0,126.0,0.0,Yarra,-37.7969,144.9969,Northern,4019.0,La,2017,4,3,True
4,Abbotsford,4,h,1600000.0,VB,Nelson,2.5,3067.0,3.0,1.0,2.0,142.0,2014.0,Yarra,-37.8072,144.9941,Northern,4019.0,St,2016,4,6,False
5,Abbotsford,2,h,941000.0,S,Jellis,2.5,3067.0,2.0,1.0,0.0,126.0,0.0,Yarra,-37.8041,144.9953,Northern,4019.0,St,2016,7,5,True
6,Abbotsford,3,h,1876000.0,S,Nelson,2.5,3067.0,4.0,2.0,0.0,210.0,1910.0,Yarra,-37.8024,144.9993,Northern,4019.0,St,2016,7,5,False
7,Abbotsford,2,h,1636000.0,S,Nelson,2.5,3067.0,2.0,1.0,2.0,107.0,1890.0,Yarra,-37.806,144.9954,Northern,4019.0,St,2016,8,10,False
8,Abbotsford,1,u,300000.0,S,Biggin,2.5,3067.0,1.0,1.0,1.0,126.0,0.0,Yarra,-37.8008,144.9973,Northern,4019.0,St,2016,8,10,True
9,Abbotsford,2,h,1097000.0,S,Biggin,2.5,3067.0,3.0,1.0,2.0,75.0,1900.0,Yarra,-37.801,144.9989,Northern,4019.0,St,2016,8,10,False
10,Abbotsford,2,u,700000.0,VB,Jellis,2.5,3067.0,2.0,2.0,1.0,126.0,0.0,Yarra,-37.811,145.0067,Northern,4019.0,St,2016,12,11,True
11,Abbotsford,3,h,1350000.0,VB,Nelson,2.5,3067.0,3.0,2.0,2.0,190.0,2005.0,Yarra,-37.8085,144.9964,Northern,4019.0,St,2016,12,11,False
12,Abbotsford,2,u,750000.0,S,Biggin,2.5,3067.0,2.0,2.0,1.0,94.0,2009.0,Yarra,-37.8078,144.9965,Northern,4019.0,St,2016,12,11,False
13,Abbotsford,2,h,1172500.0,S,Biggin,2.5,3067.0,2.0,1.0,1.0,126.0,0.0,Yarra,-37.8084,144.9973,Northern,4019.0,St,2016,8,13,True
14,Abbotsford,1,u,441000.0,SP,Greg,2.5,3067.0,1.0,1.0,1.0,126.0,0.0,Yarra,-37.8016,144.9988,Northern,4019.0,St,2016,5,14,True
15,Abbotsford,2,h,1310000.0,S,Jellis,2.5,3067.0,2.0,1.0,2.0,97.0,1890.0,Yarra,-37.809,144.9976,Northern,4019.0,St,2016,10,15,False
16,Abbotsford,3,h,1200000.0,S,Jellis,2.5,3067.0,3.0,2.0,1.0,110.0,1880.0,Yarra,-37.8056,144.993,Northern,4019.0,St,2016,7,16,False
17,Abbotsford,3,h,1176500.0,S,Lessthan50,2.5,3067.0,2.0,1.0,1.0,105.0,1890.0,Yarra,-37.8021,144.9965,Northern,4019.0,St,2016,7,16,False
18,Abbotsford,3,h,955000.0,S,Collins,2.5,3067.0,3.0,1.0,0.0,126.0,0.0,Yarra,-37.8022,144.9975,Northern,4019.0,St,2016,9,17,True
19,Abbotsford,2,h,890000.0,S,Biggin,2.5,3067.0,2.0,1.0,1.0,73.0,1985.0,Yarra,-37.8011,145.0004,Northern,4019.0,St,2016,9,17,False
20,Abbotsford,4,h,1330000.0,PI,Kay,2.5,3067.0,4.0,2.0,2.0,135.0,1900.0,Yarra,-37.8073,144.9952,Northern,4019.0,St,2017,3,18,False
21,Abbotsford,3,t,900000.0,S,Lessthan50,2.5,3067.0,3.0,2.0,2.0,126.0,2010.0,Yarra,-37.8093,144.9959,Northern,4019.0,St,2017,3,18,False
22,Abbotsford,3,u,1090000.0,S,Jellis,2.5,3067.0,3.0,2.0,2.0,27.0,0.0,Yarra,-37.8078,144.9965,Northern,4019.0,St,2017,3,18,True
23,Abbotsford,2,u,500000.0,S,Collins,2.5,3067.0,2.0,1.0,1.0,60.0,1970.0,Yarra,-37.8015,144.9972,Northern,4019.0,St,2016,6,18,False
24,Abbotsford,2,h,1100000.0,PI,Biggin,2.5,3067.0,2.0,2.0,1.0,135.0,2013.0,Yarra,-37.8079,144.9977,Northern,4019.0,St,2016,6,18,False
25,Abbotsford,2,h,1315000.0,S,Marshall,2.5,3067.0,2.0,1.0,0.0,85.0,1900.0,Yarra,-37.808,144.994,Northern,4019.0,St,2016,11,19,False
26,Abbotsford,1,u,426000.0,SP,Greg,2.5,3067.0,1.0,1.0,1.0,126.0,0.0,Yarra,-37.8016,144.9988,Northern,4019.0,St,2016,8,22,True
27,Abbotsford,3,h,1447500.0,PI,Nelson,2.5,3067.0,3.0,3.0,1.0,174.0,2012.0,Yarra,-37.8017,145.0001,Northern,4019.0,St,2016,8,22,False
28,Abbotsford,1,u,457000.0,S,Jellis,2.5,3067.0,1.0,1.0,1.0,50.0,0.0,Yarra,-37.8078,144.9965,Northern,4019.0,St,2016,8,22,True
29,Abbotsford,2,h,1135000.0,S,Nelson,2.5,3067.0,2.0,2.0,2.0,128.0,1920.0,Yarra,-37.8005,144.9952,Northern,4019.0,St,2016,8,22,False
30,Abbotsford,4,h,1542000.0,S,Collins,2.5,3067.0,4.0,3.0,1.0,126.0,0.0,Yarra,-37.7994,144.9965,Northern,4019.0,St,2016,9,24,True
31,Abbotsford,3,h,1290000.0,S,Biggin,2.5,3067.0,3.0,2.0,2.0,18.0,0.0,Yarra,-37.805,144.9943,Northern,4019.0,St,2017,2,25,True
32,Abbotsford,3,h,1290000.0,S,Biggin,2.5,3067.0,3.0,1.0,1.0,124.0,1950.0,Yarra,-37.8007,144.9958,Northern,4019.0,St,2017,2,25,False
33,Abbotsford,1,u,470000.0,S,Nelson,2.5,3067.0,1.0,1.0,1.0,50.0,2013.0,Yarra,-37.8055,144.9961,Northern,4019.0,St,2016,7,26,False
34,Abbotsford,2,h,1180000.0,S,Jellis,2.5,3067.0,2.0,1.0,0.0,91.0,1900.0,Yarra,-37.8016,144.9956,Northern,4019.0,St,2016,11,27,False
35,Abbotsford,3,h,1195000.0,SP,Jellis,2.5,3067.0,3.0,2.0,1.0,128.0,1998.0,Yarra,-37.8022,144.9954,Northern,4019.0,St,2016,11,27,False
36,Abbotsford,2,h,1012500.0,S,Nelson,2.5,3067.0,2.0,1.0,0.0,82.0,1900.0,Yarra,-37.8021,144.9976,Northern,4019.0,St,2016,5,28,False
37,Abbotsford,2,h,1030000.0,S,Biggin,2.5,3067.0,2.0,1.0,1.0,81.0,1930.0,Yarra,-37.8086,144.9946,Northern,4019.0,St,2016,7,30,False
38,Airport West,3,t,840000.0,PI,Nelson,13.5,3042.0,3.0,2.0,1.0,225.0,2016.0,Moonee Valley,-37.718,144.878,Western,3464.0,Rd,2016,3,9,False
39,Airport West,3,h,730000.0,VB,Nelson,13.5,3042.0,3.0,2.0,1.0,145.0,1965.0,Moonee Valley,-37.7203,144.8755,Western,3464.0,St,2016,3,12,False
40,Airport West,3,h,770000.0,SP,Nelson,13.5,3042.0,3.0,2.0,1.0,145.0,1965.0,Moonee Valley,-37.7203,144.8755,Western,3464.0,St,2017,4,3,False
41,Airport West,2,h,603000.0,S,Nelson,13.5,3042.0,2.0,1.0,1.0,84.0,1950.0,Moonee Valley,-37.7294,144.888,Western,3464.0,St,2017,4,3,False
42,Airport West,3,t,700000.0,S,Brad,13.5,3042.0,3.0,2.0,2.0,134.0,2009.0,Moonee Valley,-37.7218,144.8837,Western,3464.0,St,2017,4,3,False
43,Airport West,3,h,600000.0,S,Lessthan10,13.5,3042.0,2.0,1.0,1.0,116.0,1980.0,Moonee Valley,-37.7273,144.8744,Western,3464.0,Gr,2017,4,3,False
44,Airport West,2,u,500000.0,VB,Barry,13.5,3042.0,2.0,1.0,1.0,86.0,2011.0,Moonee Valley,-37.7215,144.8864,Western,3464.0,St,2017,4,3,False
45,Airport West,3,h,720000.0,S,Barry,13.5,3042.0,2.0,1.0,1.0,126.0,0.0,Moonee Valley,-37.7173,144.8872,Western,3464.0,Rd,2016,6,8,True
46,Airport West,4,h,785000.0,S,Lessthan50,13.5,3042.0,3.0,1.0,2.0,127.0,0.0,Moonee Valley,-37.7259,144.8792,Western,3464.0,Rd,2016,6,8,True
47,Airport West,6,h,725000.0,SP,Barry,13.5,3042.0,6.0,3.0,2.0,186.0,1980.0,Moonee Valley,-37.7239,144.8735,Western,3464.0,Rd,2016,7,5,False
48,Airport West,2,t,450000.0,S,Barry,13.5,3042.0,2.0,1.0,1.0,90.0,2015.0,Moonee Valley,-37.7216,144.871,Western,3464.0,Rd,2016,7,5,False
49,Airport West,2,u,515000.0,S,Barry,13.5,3042.0,2.0,1.0,1.0,73.0,2013.0,Moonee Valley,-37.7298,144.8883,Western,3464.0,St,2016,7,11,False
50,Airport West,2,u,530000.0,S,Nelson,13.5,3042.0,2.0,1.0,1.0,94.0,2012.0,Moonee Valley,-37.7234,144.8792,Western,3464.0,Rd,2016,10,9,False
51,Airport West,3,h,895000.0,PI,Rendina,13.5,3042.0,3.0,1.0,6.0,133.0,1975.0,Moonee Valley,-37.7249,144.8728,Western,3464.0,Ct,2016,10,9,False
52,Airport West,3,h,805000.0,S,Nelson,13.5,3042.0,3.0,1.0,1.0,105.0,1950.0,Moonee Valley,-37.7217,144.8783,Western,3464.0,St,2016,10,12,False
53,Airport West,3,u,752000.0,S,Nelson,13.5,3042.0,3.0,1.0,1.0,130.0,1993.0,Moonee Valley,-37.7302,144.8855,Western,3464.0,St,2017,11,2,False
54,Airport West,2,u,440000.0,S,Barry,13.5,3042.0,2.0,1.0,1.0,126.0,0.0,Moonee Valley,-37.7177,144.8787,Western,3464.0,Rd,2016,8,13,True
55,Airport West,5,h,755000.0,PI,Lessthan10,13.5,3042.0,3.0,2.0,2.0,126.0,0.0,Moonee Valley,-37.7248,144.8699,Western,3464.0,Rd,2016,5,14,True
56,Airport West,3,t,700000.0,PI,Brad,13.5,3042.0,3.0,2.0,2.0,133.0,2009.0,Moonee Valley,-37.727,144.887,Western,3464.0,St,2016,10,15,False
57,Airport West,3,h,830000.0,S,Barry,13.5,3042.0,3.0,1.0,2.0,113.0,1960.0,Moonee Valley,-37.7186,144.876,Western,3464.0,Rd,2016,4,16,False
